,train ratio,base acc ratio,methon1 acc ratio,methon2 acc ratio,methon3 acc ratio
3497,0.7,1.0,0.9555555555555556,0.9555555555555556,0.9555555555555556
3498,0.7,0.9111111111111111,0.9333333333333333,0.9333333333333333,0.9333333333333333
3499,0.7,0.8888888888888888,0.9555555555555556,0.9555555555555556,0.9555555555555556
3500,0.72,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286
3501,0.72,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9761904761904762
3502,0.72,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048
3503,0.72,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286
3504,0.72,0.9285714285714286,0.9523809523809523,0.9523809523809523,0.9523809523809523
3505,0.72,1.0,1.0,1.0,1.0
3506,0.72,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9761904761904762
3507,0.72,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286
3508,0.72,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523
3509,0.72,0.9285714285714286,0.9523809523809523,0.9523809523809523,0.9523809523809523
3510,0.72,0.8809523809523809,0.9285714285714286,0.9285714285714286,0.9285714285714286
3511,0.72,0.8571428571428571,0.9523809523809523,0.9523809523809523,0.9523809523809523
3512,0.72,0.9285714285714286,0.9523809523809523,0.9523809523809523,0.9523809523809523
3513,0.72,0.9523809523809523,1.0,1.0,1.0
3514,0.72,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523
3515,0.72,0.8571428571428571,0.9047619047619048,0.9047619047619048,0.9047619047619048
3516,0.72,0.8571428571428571,0.9047619047619048,0.9047619047619048,0.9047619047619048
3517,0.72,0.9285714285714286,0.9523809523809523,0.9523809523809523,0.9523809523809523
3518,0.72,0.8809523809523809,0.9523809523809523,0.9523809523809523,0.9523809523809523
3519,0.72,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523
3520,0.72,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523
3521,0.72,0.8809523809523809,0.9047619047619048,0.9047619047619048,0.9047619047619048
3522,0.72,0.8809523809523809,0.9047619047619048,0.9047619047619048,0.9047619047619048
